DATA
54
layer_256_2_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_2_conv3	-1	2832	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_256_3_conv1	-1	3539	196	1024	256	NONE	0	2832	196	1024	256	NONE	0	1476	196	1024	256	ALLREDUCE	1048576	148
layer_256_3_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_3_conv3	-1	2832	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_256_4_conv1	-1	3539	196	1024	256	NONE	0	2832	196	1024	256	NONE	0	1476	196	1024	256	ALLREDUCE	1048576	148
layer_256_4_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_4_conv3	-1	2832	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_256_5_conv1	-1	3539	196	1024	256	NONE	0	2832	196	1024	256	NONE	0	1476	196	1024	256	ALLREDUCE	1048576	148
layer_256_5_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_5_conv3	-1	2832	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_256_6_conv1	-1	3539	196	1024	256	NONE	0	2832	196	1024	256	NONE	0	1476	196	1024	256	ALLREDUCE	1048576	148
layer_256_6_conv2	-1	6372	196	2304	256	NONE	0	6372	196	2304	256	NONE	0	2756	196	2304	256	ALLREDUCE	2359296	276
layer_256_6_conv3	-1	12583	196	256	1024	NONE	0	3539	196	256	1024	NONE	0	2832	196	256	1024	ALLREDUCE	1048576	283
layer_512_1_conv4	-1	17952	49	1024	2048	NONE	0	17952	49	1024	2048	NONE	0	10632	49	1024	2048	ALLREDUCE	8388608	1063
layer_512_1_conv1	-1	14156	196	1024	512	NONE	0	12583	196	1024	512	NONE	0	2952	196	1024	512	ALLREDUCE	2097152	295
layer_512_1_conv2	-1	20196	49	4608	512	NONE	0	20196	49	4608	512	NONE	0	9826	49	4608	512	ALLREDUCE	9437184	983
layer_512_1_conv3	-1	8976	49	512	2048	NONE	0	14156	49	512	2048	NONE	0	6536	49	512	2048	ALLREDUCE	4194304	654
layer_512_2_conv1	-1	14156	49	2048	512	NONE	0	8976	49	2048	512	NONE	0	4706	49	2048	512	ALLREDUCE	4194304	471
layer_512_2_conv2	-1	20196	49	4608	512	NONE	0	20196	49	4608	512	NONE	0	9826	49	4608	512	ALLREDUCE	9437184	983
layer_512_2_conv3	-1	8976	49	512	2048	NONE	0	14156	49	512	2048	NONE	0	6536	49	512	2048	ALLREDUCE	4194304	654
layer_512_3_conv1	-1	14156	49	2048	512	NONE	0	8976	49	2048	512	NONE	0	4706	49	2048	512	ALLREDUCE	4194304	471
layer_512_3_conv2	-1	20196	49	4608	512	NONE	0	20196	49	4608	512	NONE	0	9826	49	4608	512	ALLREDUCE	9437184	983
layer_512_3_conv3	-1	12288	49	512	2048	NONE	0	14156	49	512	2048	NONE	0	6536	49	512	2048	ALLREDUCE	4194304	654
fc1000	-1	16416	1	2048	1000	NONE	0	27708	1	2048	1000	NONE	0	9220	1	2048	1000	ALLREDUCE	8192000	922
